word,meaning,synonym1,synonym2,antonym1,antonym2,example_sentence
expedite,to speed up a process,accelerate,hasten,delay,slow,They worked overtime to expedite the delivery.
expel,to force someone to leave,eject,dismiss,admit,welcome,The school had to expel the student for serious misconduct.
expertise,special skill or knowledge,skill,proficiency,incompetence,ignorance,Her expertise in coding helped build the website.
explicit,stated clearly and in detail,clear,specific,vague,implicit,The instructions were explicit and easy to follow.
expository,intended to explain or describe,explanatory,descriptive,confusing,unclear,The expository essay explained how volcanoes work.
expunge,to remove completely,erase,delete,record,add,The judge ordered the mistake to be expunged from the record.
exquisite,extremely beautiful and delicate,beautiful,elegant,ugly,crude,The exquisite jewellery sparkled in the display case.
extinction,the dying out of a species,disappearance,eradication,survival,preservation,The extinction of dinosaurs happened millions of years ago.
extol,to praise enthusiastically,praise,acclaim,criticise,denounce,The review extolled the virtues of the excellent book.
extract,to remove or take out,remove,withdraw,insert,add,The dentist had to extract the damaged tooth.
extraneous,not essential or relevant,irrelevant,unnecessary,relevant,essential,Remove any extraneous details from your essay.
extraordinary,very unusual or remarkable,remarkable,exceptional,ordinary,common,The extraordinary sunrise painted the sky pink and gold.
extricate,to free from a difficult situation,free,release,trap,entangle,They managed to extricate the cat from the tree branches.
extrovert,an outgoing and sociable person,socialite,mingler,introvert,loner,The extrovert loved meeting new people at parties.
exuberance,lively energy and enthusiasm,enthusiasm,vivacity,lethargy,apathy,The children's exuberance filled the playground with joy.
exuberant,full of energy and enthusiasm,enthusiastic,lively,subdued,reserved,The exuberant crowd cheered loudly for their team.
facile,too easy or superficial,easy,simplistic,difficult,profound,His facile explanation glossed over the real complexity.
facilitate,to make something easier,assist,ease,hinder,obstruct,Good lighting can facilitate reading in the evening.
fallacious,based on a false idea or mistaken belief,false,misleading,true,valid,The fallacious argument did not convince anyone.
falter,to hesitate or stumble,hesitate,waver,continue,persist,She began to falter when answering the difficult questions.
famine,severe shortage of food,hunger,starvation,plenty,abundance,The famine caused great suffering across the region.
fanaticism,excessive enthusiasm for something,extremism,obsession,moderation,apathy,His fanaticism for the team was sometimes worrying.
farcical,ridiculously funny or absurd,absurd,ridiculous,serious,sensible,The farcical situation made everyone burst out laughing.
fascinated,intensely interested,captivated,enthralled,bored,uninterested,She was fascinated by the ancient Egyptian artefacts.
fastidious,very concerned about accuracy and detail,meticulous,fussy,careless,sloppy,The fastidious editor checked every word carefully.
fateful,having important often negative consequences,decisive,momentous,unimportant,trivial,The fateful decision changed the course of history.
fathom,to understand something complex,understand,comprehend,misunderstand,confuse,I cannot fathom why he made such a strange choice.
fatuous,silly and pointless,foolish,stupid,sensible,wise,His fatuous remarks annoyed everyone in the meeting.
feasible,possible and practical to do,possible,achievable,impossible,impractical,The plan seemed feasible and was approved by the committee.
femininity,qualities traditionally associated with women,womanhood,femaleness,masculinity,manhood,The ballet celebrated grace and femininity.
feral,wild and untamed,wild,savage,tame,domesticated,The feral cat hissed at anyone who approached it.
ferocity,fierce and violent aggression,fierceness,savagery,gentleness,mildness,The ferocity of the storm surprised weather forecasters.
fervour,intense passionate feeling,passion,enthusiasm,apathy,indifference,She spoke about her hobby with great fervour.
fiasco,a complete and embarrassing failure,disaster,failure,success,triumph,The school play was a fiasco when the lights failed.
fickle,changing opinions or loyalty frequently,changeable,inconsistent,constant,reliable,The fickle weather changed from sunny to rainy in minutes.
fierce,aggressive and powerful,ferocious,savage,gentle,mild,The fierce lion roared loudly at the approaching visitors.
figurative,not literal using figures of speech,metaphorical,symbolic,literal,actual,The poet used figurative language to describe his feelings.
filly,a young female horse,foal,mare,stallion,colt,The playful filly ran around the paddock with her mother.
finesse,skilful and elegant handling,skill,elegance,clumsiness,awkwardness,She handled the difficult conversation with great finesse.
flabbergast,to shock or astonish greatly,astonish,astound,bore,expect,The surprise ending of the story completely flabbergasted me.
flagrant,obviously offensive or bad,blatant,glaring,subtle,hidden,His flagrant cheating was immediately noticed by the teacher.
flamboyant,bright colourful and very noticeable,showy,flashy,subtle,restrained,The flamboyant costume attracted everyone's attention.
flattering,making someone look or feel good,complimentary,praising,critical,unflattering,The flattering photograph made her look very elegant.
flatulence,gas in the digestive system,wind,gas,nothing,void,The doctor asked about symptoms including flatulence.
flawed,having faults or imperfections,imperfect,faulty,perfect,flawless,The flawed argument did not convince anyone in the debate.
flawless,without any faults or mistakes,perfect,impeccable,flawed,imperfect,Her flawless performance earned her the gold medal.
flimsy,thin and easily damaged,fragile,weak,sturdy,strong,The flimsy cardboard box fell apart in the rain.
flippant,not showing proper seriousness,disrespectful,casual,serious,respectful,His flippant remarks about the exam upset the teacher.
flora,the plants of a particular area,plants,vegetation,fauna,animals,The tropical island had beautiful and exotic flora.
florid,red and flushed or elaborate,flushed,ornate,pale,simple,His florid writing style was full of unnecessary words.
fluctuate,to rise and fall irregularly,vary,change,stabilise,remain,Temperatures can fluctuate greatly during spring.
foal,a young horse,colt,filly,adult,stallion,The newborn foal wobbled on its thin legs.
foolhardy,recklessly bold,reckless,rash,cautious,sensible,It was foolhardy to swim in the rough sea.
